1,-1.18,2.50,0.0009
2,-1.18,2.45,0.0052
3,-1.18,2.44,0.0052
4,-1.18,2.38,0.0052
5,-1.10,2.34,0.0052
6,-1.10,2.27,0.0053
7,-1.10,2.25,0.0052
8,-1.10,2.22,0.0052
9,-1.00,2.11,0.0052
10,-1.00,1.69,0.0053
11,-1.00,1.37,0.0052
12,-1.00,0.71,0.0052
13,-0.02,0.05,0.0052
14,-0.02,-0.77,0.0053
15,-0.02,-1.22,0.0052
16,-0.02,-1.62,0.0052
17,0.91,-1.93,0.0052
18,0.91,-2.11,0.0053
19,0.91,-2.38,0.0052
20,0.91,-2.41,0.0052
21,1.17,-2.48,0.0052
22,1.17,-2.54,0.0053
23,1.17,-2.51,0.0052
24,1.17,-2.56,0.0052
25,1.16,-2.46,0.0052
26,1.16,-2.37,0.0053
27,1.16,-2.31,0.0052
28,1.16,-1.69,0.0052
29,0.51,-1.09,0.0052
30,0.51,-0.33,0.0053
31,0.51,0.32,0.0052
32,0.51,0.88,0.0052
33,-0.64,1.36,0.0052
34,-0.64,1.77,0.0053
35,-0.64,2.08,0.0052
36,-0.64,2.35,0.0052
37,-1.17,2.48,0.0052
38,-1.17,2.59,0.0053
39,-1.17,2.64,0.0052
40,-1.17,2.73,0.0052
41,-1.18,2.50,0.0052
42,-1.18,1.93,0.0053
43,-1.18,1.31,0.0052
44,-1.18,0.78,0.0052
45,-0.15,0.31,0.0052
46,-0.15,-0.04,0.0053
47,-0.15,-0.44,0.0052
48,-0.15,-0.72,0.0052
49,0.42,-0.89,0.0052
50,0.42,-1.09,0.0053
51,0.42,-1.31,0.0052
52,0.42,-1.38,0.0052
53,0.69,-1.45,0.0052
54,0.69,-1.45,0.0053
55,0.69,-1.40,0.0052
56,0.69,-1.42,0.0052
57,0.68,-1.43,0.0052
58,0.68,-1.48,0.0053
59,0.68,-1.51,0.0052
60,0.68,-1.54,0.0052
61,0.75,-1.60,0.0052
62,0.75,-1.32,0.0053
63,0.75,-0.91,0.0052
64,0.75,-0.41,0.0052
65,0.00,-0.01,0.0052
66,0.00,0.38,0.0052
67,0.00,0.74,0.0052
68,0.00,0.99,0.0052
69,-0.57,1.20,0.0052
70,-0.57,1.31,0.0053
71,-0.57,1.33,0.0052
72,-0.57,1.38,0.0052
73,-0.63,1.34,0.0052
74,-0.63,1.26,0.0053
75,-0.63,1.15,0.0052
76,-0.63,0.96,0.0052
77,-0.40,0.85,0.0052
78,-0.40,0.78,0.0053
79,-0.40,0.75,0.0052
80,-0.40,0.75,0.0052
81,-0.28,0.58,0.0052
82,-0.28,0.30,0.0053
83,-0.28,0.09,0.0052
84,-0.28,-0.09,0.0052
85,0.10,-0.22,0.0052
86,0.10,-0.34,0.0053
87,0.10,-0.57,0.0052
88,0.10,-0.76,0.0052
89,0.37,-0.79,0.0052
90,0.37,-0.89,0.0053
91,0.37,-0.84,0.0052
92,0.37,-0.86,0.0052
93,0.40,-0.86,0.0052
94,0.40,-0.90,0.0053
95,0.40,-0.94,0.0052
96,0.40,-0.94,0.0052
97,0.45,-0.96,0.0052
98,0.45,-0.87,0.0053
