1,-4.06,2.50,0.0009
2,-4.06,2.45,0.0102
3,-1.23,2.00,0.0102
4,-1.23,1.34,0.0103
5,1.08,0.17,0.0102
6,1.08,-0.68,0.0102
7,1.83,-1.32,0.0102
8,1.83,-1.94,0.0103
9,2.63,-2.57,0.0102
10,2.63,-2.67,0.0103
11,1.37,-2.33,0.0103
12,1.37,-1.60,0.0103
13,-0.62,-0.83,0.0102
14,-0.62,-0.10,0.0103
15,-1.51,0.62,0.0102
16,-1.51,1.27,0.0103
17,-2.00,1.69,0.0102
18,-2.00,1.95,0.0103
19,-1.88,2.11,0.0102
20,-1.88,1.55,0.0103
21,0.06,1.01,0.0102
22,0.06,0.42,0.0103
23,0.82,-0.13,0.0102
24,0.82,-0.54,0.0103
25,1.27,-1.04,0.0102
26,1.27,-1.49,0.0103
27,1.70,-1.75,0.0102
28,1.70,-1.91,0.0103
29,1.21,-1.73,0.0102
30,1.21,-1.36,0.0103
31,0.14,-0.95,0.0102
32,0.14,-0.52,0.0103
33,-0.45,-0.10,0.0102
34,-0.45,0.20,0.0103
35,-0.56,0.46,0.0102
36,-0.56,0.70,0.0103
37,-0.67,0.81,0.0102
38,-0.67,0.76,0.0103
39,-0.14,0.63,0.0102
40,-0.14,0.45,0.0103
41,0.47,0.11,0.0102
42,0.47,-0.23,0.0103
43,1.21,-0.64,0.0102
44,1.21,-0.99,0.0103
45,1.64,-1.28,0.0103
46,1.64,-1.51,0.0103
47,1.12,-1.25,0.0102
48,1.12,-0.62,0.0103
49,-0.42,-0.20,0.0102
50,-0.42,-0.03,0.0103
51,-0.38,0.38,0.0102
52,-0.38,0.72,0.0103
53,-1.07,1.10,0.0102
54,-1.07,1.44,0.0103
55,-1.42,1.65,0.0102
56,-1.42,1.60,0.0103
57,-0.50,1.29,0.0102
58,-0.50,0.70,0.0103
59,0.80,0.21,0.0102
60,0.80,-0.46,0.0103
61,1.58,-0.90,0.0102
62,1.58,-1.44,0.0103
63,2.26,-1.87,0.0102
64,2.26,-1.88,0.0103
65,1.00,-1.53,0.0102
66,1.00,-0.97,0.0103
67,0.00,-0.62,0.0101
68,0.00,-0.23,0.0103
69,-0.21,0.05,0.0102
70,-0.21,0.36,0.0103
71,-0.53,0.63,0.0102
72,-0.53,0.87,0.0103
73,-0.77,1.05,0.0102
74,-0.77,1.11,0.0103
75,-0.18,0.86,0.0102
76,-0.18,0.62,0.0103
77,0.61,0.22,0.0102
78,0.61,-0.11,0.0103
79,0.88,-0.33,0.0102
80,0.88,-0.50,0.0103
81,0.98,-0.67,0.0102
82,0.98,-0.83,0.0103
83,1.29,-1.01,0.0102
84,1.29,-0.98,0.0103
85,0.50,-0.65,0.0102
86,0.50,-0.46,0.0103
87,0.07,-0.15,0.0102
88,0.07,0.19,0.0103
89,-0.69,0.62,0.0102
90,-0.69,1.02,0.0103
91,-1.22,1.33,0.0102
92,-1.22,1.51,0.0103
93,-1.13,1.59,0.0102
94,-1.13,1.34,0.0103
95,-0.12,1.01,0.0102
96,-0.12,0.54,0.0103
97,0.65,0.16,0.0102
98,0.65,-0.33,0.0103
99,1.16,-0.65,0.0102
100,1.16,-0.84,0.0103
101,1.03,-0.98,0.0103
102,1.03,-1.16,0.0103
103,1.36,-1.31,0.0102
104,1.36,-0.90,0.0103
105,-0.32,-0.38,0.0103
106,-0.32,0.17,0.0104
107,-1.05,0.62,0.0103
108,-1.05,0.94,0.0103
109,-1.08,1.16,0.0102
110,-1.08,1.37,0.0103
111,-1.16,1.43,0.0102
112,-1.16,1.22,0.0103
113,0.14,0.70,0.0102
114,0.14,0.28,0.0103
115,0.67,-0.08,0.0102
116,0.67,-0.27,0.0104
117,0.55,-0.44,0.0103
118,0.55,-0.53,0.0104
119,0.35,-0.49,0.0103
120,0.35,-0.50,0.0104
121,0.22,-0.41,0.0103
122,0.22,-0.25,0.0103
123,-0.08,-0.15,0.0103
124,-0.08,0.08,0.0104
125,-0.47,0.24,0.0102
126,-0.47,0.38,0.0103
127,-0.60,0.53,0.0102
128,-0.60,0.61,0.0104
129,-0.60,0.66,0.0103
130,-0.60,0.41,0.0104
131,0.45,0.04,0.0102
132,0.45,-0.21,0.0103
133,0.50,-0.34,0.0102
134,0.50,-0.35,0.0103
135,0.13,-0.30,0.0102
136,0.13,-0.22,0.0103
137,-0.04,-0.16,0.0103
138,-0.04,-0.08,0.0104
139,-0.15,0.00,0.0103
140,-0.15,0.08,0.0102
141,-0.25,0.15,0.0103
142,-0.25,0.24,0.0103
143,-0.42,0.33,0.0102
144,-0.42,0.41,0.0103
145,-0.60,0.52,0.0102
146,-0.60,0.61,0.0103
147,-0.48,0.52,0.0102
148,-0.48,0.53,0.0103
149,-0.15,0.28,0.0103
150,-0.15,0.19,0.0104
151,-0.21,0.17,0.0103
152,-0.21,0.05,0.0103
153,0.13,-0.11,0.0102
154,0.13,-0.23,0.0103
155,0.03,-0.20,0.0103
156,0.03,-0.08,0.0103
157,-0.40,0.03,0.0103
158,-0.40,0.17,0.0103
159,-0.66,0.31,0.0102
160,-0.66,0.42,0.0103
161,-0.50,0.35,0.0103
162,-0.50,0.25,0.0103
163,-0.25,0.20,0.0103
164,-0.25,0.16,0.0103
165,-0.20,0.07,0.0102
166,-0.20,0.05,0.0103
167,-0.24,0.02,0.0103
168,-0.24,-0.02,0.0103
169,-0.17,-0.05,0.0103
170,-0.17,0.09,0.0104
171,-0.70,0.23,0.0103
172,-0.70,0.39,0.0103
173,-0.80,0.45,0.0103
174,-0.80,0.44,0.0104
175,-0.58,0.40,0.0103
176,-0.58,0.33,0.0104
177,-0.37,0.21,0.0103
178,-0.37,0.04,0.0103
179,-0.02,-0.12,0.0102
180,-0.02,-0.17,0.0103
181,-0.18,-0.19,0.0103
182,-0.18,-0.13,0.0104
183,-0.60,0.03,0.0103
184,-0.60,0.24,0.0103
185,-1.03,0.42,0.0102
186,-1.03,0.34,0.0103
187,-0.39,0.22,0.0102
188,-0.39,0.14,0.0103
189,-0.36,0.08,0.0102
190,-0.36,-0.07,0.0104
191,-0.11,-0.16,0.0103
192,-0.11,-0.13,0.0104
193,-0.63,0.03,0.0103
194,-0.63,0.25,0.0103
195,-1.14,0.45,0.0103
196,-1.14,0.48,0.0103
197,-0.67,0.37,0.0103
198,-0.67,0.26,0.0103
199,-0.47,0.18,0.0103
200,-0.47,-0.07,0.0103
201,0.01,-0.24,0.0103
202,0.01,-0.24,0.0104
203,-0.47,-0.16,0.0103
204,-0.47,0.02,0.0104
205,-0.95,0.19,0.0102
206,-0.95,0.35,0.0103
207,-1.17,0.51,0.0102
208,-1.17,0.54,0.0103
209,-0.65,0.34,0.0103
210,-0.65,0.17,0.0103
211,-0.37,0.05,0.0102
212,-0.37,-0.18,0.0103
213,0.12,-0.42,0.0103
214,0.12,-0.58,0.0104
215,0.04,-0.61,0.0103
216,0.04,-0.52,0.0103
217,-0.52,-0.33,0.0103
218,-0.52,-0.08,0.0103
219,-0.97,0.12,0.0103
220,-0.97,0.30,0.0103
221,-1.13,0.47,0.0102
222,-1.13,0.67,0.0103
223,-1.48,0.85,0.0103
224,-1.48,0.65,0.0103
225,-0.41,0.35,0.0102
226,-0.41,-0.29,0.0103
227,0.56,-0.55,0.0103
228,0.56,-0.67,0.0103
229,0.09,-0.73,0.0103
230,0.09,-0.76,0.0104
231,-0.04,-0.70,0.0103
232,-0.04,-0.41,0.0104
233,-0.89,-0.12,0.0103
234,-0.89,0.15,0.0104
235,-1.12,0.35,0.0103
236,-1.12,0.51,0.0103
237,-1.26,0.69,0.0102
238,-1.26,0.90,0.0103
239,-1.48,0.96,0.0102
240,-1.48,0.61,0.0103
241,-0.02,0.16,0.0102
242,-0.02,-0.28,0.0103
243,0.62,-0.70,0.0103
244,0.62,-1.09,0.0104
245,0.93,-1.33,0.0103
246,0.93,-1.51,0.0103
247,0.99,-1.63,0.0102
248,0.99,-1.28,0.0104
249,-0.55,-0.75,0.0103
250,-0.55,-0.34,0.0104
251,-0.90,0.01,0.0103
252,-0.90,0.34,0.0103
253,-1.42,0.75,0.0102
254,-1.42,1.12,0.0103
255,-1.72,1.30,0.0102
256,-1.72,1.24,0.0104
257,-0.51,0.79,0.0102
258,-0.51,0.41,0.0103
259,0.18,0.02,0.0102
260,0.18,-0.35,0.0103
261,0.75,-0.76,0.0103
262,0.75,-1.03,0.0104
263,1.05,-1.33,0.0103
264,1.05,-1.56,0.0104
265,1.25,-1.69,0.0103
266,1.25,-1.27,0.0104
267,-0.08,-0.97,0.0103
268,-0.08,-0.59,0.0104
269,-0.38,-0.32,0.0103
270,-0.38,-0.02,0.0104
271,-0.71,0.27,0.0103
272,-0.71,0.56,0.0103
273,-1.00,0.76,0.0103
274,-1.00,0.87,0.0104
275,-0.83,0.89,0.0103
276,-0.83,0.88,0.0104
277,-0.60,0.76,0.0102
278,-0.60,0.53,0.0103
279,0.37,0.04,0.0102
280,0.37,-0.39,0.0103
281,0.91,-0.70,0.0102
282,0.91,-0.96,0.0103
283,1.02,-1.13,0.0103
284,1.02,-1.22,0.0104
285,1.02,-1.31,0.0103
286,1.02,-1.37,0.0103
287,0.29,-0.87,0.0102
288,0.29,-0.45,0.0104
289,-0.68,0.02,0.0103
290,-0.68,0.40,0.0104
291,-0.86,0.63,0.0103
292,-0.86,0.77,0.0103
293,-0.62,0.79,0.0102
294,-0.62,0.71,0.0104
295,0.02,0.43,0.0103
296,0.02,0.20,0.0103
297,0.37,-0.01,0.0103
298,0.37,-0.30,0.0104
299,0.63,-0.42,0.0103
300,0.63,-0.48,0.0104
301,0.52,-0.55,0.0103
302,0.52,-0.62,0.0103
303,0.68,-0.69,0.0103
304,0.68,-0.62,0.0104
305,0.06,-0.34,0.0103
306,0.06,0.07,0.0103
307,-0.65,0.31,0.0103
308,-0.65,0.44,0.0103
309,-0.46,0.54,0.0102
310,-0.46,0.54,0.0103
311,-0.21,0.48,0.0103
312,-0.21,0.42,0.0104
313,0.40,0.04,0.0102
314,0.40,-0.23,0.0103
315,0.90,-0.51,0.0103
316,0.90,-0.66,0.0104
317,0.87,-0.78,0.0103
318,0.87,-0.84,0.0103
319,0.92,-0.90,0.0103
320,0.92,-0.42,0.0103
321,-0.76,0.11,0.0102
322,-0.76,0.54,0.0103
323,-0.88,0.75,0.0103
324,-0.88,0.88,0.0104
325,-0.47,0.81,0.0103
326,-0.47,0.51,0.0104
327,0.70,0.07,0.0103
328,0.70,-0.21,0.0103
329,0.85,-0.44,0.0102
330,0.85,-0.57,0.0103
331,0.76,-0.64,0.0103
332,0.76,-0.74,0.0104
333,0.97,-0.85,0.0103
334,0.97,-1.03,0.0104
335,0.51,-0.62,0.0103
336,0.51,-0.33,0.0104
337,-0.32,0.05,0.0102
338,-0.32,0.36,0.0103
339,-0.38,0.47,0.0103
340,-0.38,0.47,0.0103
341,0.08,0.38,0.0103
342,0.08,0.32,0.0103
343,0.20,0.24,0.0102
344,0.20,0.12,0.0103
345,0.51,-0.04,0.0102
346,0.51,-0.15,0.0104
347,0.67,-0.30,0.0103
348,0.67,-0.46,0.0103
349,0.86,-0.54,0.0103
350,0.86,-0.62,0.0104
351,0.65,-0.51,0.0103
352,0.65,-0.14,0.0103
353,-0.73,0.38,0.0102
354,-0.73,0.69,0.0103
355,-0.72,0.86,0.0103
356,-0.72,0.96,0.0103
357,-0.69,1.05,0.0102
358,-0.69,0.90,0.0103
359,0.13,0.58,0.0103
360,0.13,0.14,0.0103
361,0.95,-0.22,0.0102
362,0.95,-0.41,0.0104
363,0.73,-0.52,0.0102
364,0.73,-0.53,0.0103
365,0.55,-0.54,0.0103
366,0.55,-0.40,0.0104
367,0.22,-0.32,0.0103
368,0.22,-0.37,0.0104
369,0.08,-0.08,0.0102
370,0.08,0.21,0.0104
371,-0.71,0.54,0.0102
372,-0.71,0.71,0.0103
373,-0.61,0.79,0.0103
374,-0.61,0.84,0.0103
375,-0.36,0.73,0.0102
376,-0.36,0.56,0.0104
377,0.28,0.25,0.0103
378,0.28,0.05,0.0103
379,0.54,-0.19,0.0102
380,0.54,-0.46,0.0103
381,0.78,-0.57,0.0103
382,0.78,-0.58,0.0103
383,0.53,-0.60,0.0103
384,0.53,-0.60,0.0104
385,-0.00,-0.24,0.0103
386,-0.00,0.29,0.0104
387,-1.24,0.73,0.0103
388,-1.24,1.02,0.0103
389,-1.12,1.16,0.0102
390,-1.12,1.25,0.0103
391,-0.40,0.88,0.0102
392,-0.40,0.56,0.0104
393,0.31,0.23,0.0103
394,0.31,-0.13,0.0103
395,0.68,-0.38,0.0103
396,0.68,-0.58,0.0104
397,0.52,-0.59,0.0103
398,0.52,-0.56,0.0104
399,0.13,-0.44,0.0103
400,0.13,-0.38,0.0104
401,0.02,-0.25,0.0103
402,0.02,-0.19,0.0103
403,0.12,-0.19,0.0102
404,0.12,-0.07,0.0104
405,-0.48,0.22,0.0103
406,-0.48,0.32,0.0104
407,-0.45,0.41,0.0103
408,-0.45,0.48,0.0104
409,-0.47,0.51,0.0103
410,-0.47,0.49,0.0103
411,0.03,0.23,0.0102
412,0.03,-0.18,0.0103
413,0.88,-0.47,0.0103
414,0.88,-0.56,0.0104
415,0.49,-0.59,0.0103
416,0.49,-0.53,0.0104
417,0.19,-0.44,0.0103
418,0.19,-0.16,0.0104
419,-0.67,0.21,0.0103
420,-0.67,0.54,0.0102
421,-0.96,0.73,0.0102
422,-0.96,0.76,0.0104
423,-0.71,0.83,0.0102
424,-0.71,0.85,0.0103
425,-0.22,0.53,0.0102
426,-0.22,0.23,0.0103
427,0.48,-0.11,0.0102
428,0.48,-0.35,0.0103
429,0.47,-0.45,0.0103
430,0.47,-0.38,0.0104
431,0.04,-0.35,0.0103
432,0.04,-0.30,0.0104
433,0.03,-0.26,0.0103
434,0.03,-0.23,0.0104
435,0.08,-0.23,0.0103
436,0.08,-0.24,0.0104
437,-0.01,-0.14,0.0103
438,-0.01,0.03,0.0104
439,-0.31,0.10,0.0103
440,-0.31,0.15,0.0103
441,-0.19,0.16,0.0102
442,-0.19,0.17,0.0104
443,-0.17,0.17,0.0102
444,-0.17,0.16,0.0103
445,-0.15,0.15,0.0102
446,-0.15,0.22,0.0103
447,0.23,-0.10,0.0102
448,0.23,-0.27,0.0104
449,0.31,-0.29,0.0103
450,0.31,-0.31,0.0104
451,0.21,-0.31,0.0102
452,0.21,-0.34,0.0104
453,0.31,-0.37,0.0103
454,0.31,-0.44,0.0104
455,0.43,-0.45,0.0102
456,0.43,-0.47,0.0103
457,0.19,-0.32,0.0103
458,0.19,-0.26,0.0104
459,0.02,-0.12,0.0103
460,0.02,-0.05,0.0104
461,0.01,0.01,0.0103
462,0.01,-0.04,0.0102
463,0.15,-0.01,0.0103
464,0.15,-0.00,0.0104
465,0.23,-0.07,0.0102
466,0.23,-0.10,0.0103
467,0.24,-0.11,0.0103
468,0.24,-0.15,0.0104
469,0.37,-0.20,0.0103
470,0.37,-0.22,0.0104
471,0.44,-0.28,0.0103
472,0.44,-0.31,0.0103
473,0.47,-0.33,0.0102
474,0.47,-0.29,0.0104
475,0.34,-0.26,0.0103
476,0.34,-0.18,0.0103
